300
CZB79DGT6FM;S;CYPXLHASX;59;74;96;OSRA;71
SPQ25PTG6UY;S;BMKQQSPJM;44;43;5;RWXR;11
EYC28PAO8VT;S;FMQYWCKNC;89;77;11;BXMV;93
PVG96PWK9CP;S;JMAPRDCLD;67;20;97;BNXT;2
KDD50AFW2LZ;S;PYJAKCIWC;38;56;29;RYZQ;89
ABO38LDT5QD;S;YTXWWXDQU;32;66;78;BAPC;3
WRS11MHL6GW;S;XTVIJSHQE;38;14;58;FLOP;37
TDB02BIY2VS;S;QZZLDQNLK;66;20;83;EEUK;6
DBQ21ZEY0ZZ;S;HMDXLZUKO;77;63;73;OMTG;5
LEH03NUG6JN;S;BIHEJHGRF;96;7;25;IUPR;86
BEL72PFF1OK;S;EAGOLTOVR;100;42;72;SIIC;567
DIC38JAE6BZ;S;ICLBKEWXH;93;40;21;BDGW;3
HUQ06IDZ0FT;S;ZTNFEHMHU;92;64;36;XJSE;5
WSG18WAE3OO;S;NDAHLRBOF;17;86;50;DILB;882
RUD31PZV2NW;S;NRMWRYVSY;12;89;26;HQTK;59
BJQ85GDO0IH;S;KOYIALOTK;36;18;87;TPXD;7
KIP51BKW6BC;S;BEXNAEKAD;67;44;10;ZWPS;6
BUF62RBJ2LN;S;OYZNWNFBA;58;37;88;IHGW;973
VWB94AOR1FD;S;BZVNDTJLM;60;92;51;AYYB;87
KCS66UPE9WO;S;KNSCPCUHC;9;50;29;THVE;4
RQV87XUB0HU;S;AOVGAZOHT;31;62;32;HAYA;3
RHS11PZV4UL;S;CGNVXCDCL;34;78;92;GCDB;5
JWV18DSN4OA;S;UDBSLMBSD;79;9;38;GVZD;459
AKT77PAV9AU;S;QRLBPMGWH;25;48;63;SHXO;18
UGH20UQZ4LK;S;YNUNPVHKY;61;29;47;YGWI;3
ZVY23AHV7AA;S;YSYXRWRMS;9;3;69;OIXM;23
IRD12DAJ6VJ;S;QXUNIJHVQ;31;82;71;UQCO;7
DCN34FWV1DB;S;UXLHDLKRG;6;15;34;NPNV;331
KGQ51IXD8FK;S;KCNUTTDFO;39;50;91;WIDL;7
OYU71QWY7QH;S;UWBAGWRCK;34;46;2;JYTX;166
SZL17BQL7CF;S;SKEILMQYW;79;11;43;SFRR;5
DCZ03EBA8AG;S;HUWZPJUGC;59;25;68;VJRL;9
MRB93TAV0JJ;S;TMAPLPMXM;79;34;42;ATRG;18
RCO05EYS6PV;S;JJRBSWPIX;46;86;79;FAEQ;8
PXB18HAH0BW;S;BARRHGFJS;55;5;50;WRWM;827
WNV33CPN7EL;S;PQQVJCWCA;13;1;28;YCGF;7
YDO99HFV7UN;S;LINFJSIGR;63;26;9;VFMD;2
LRK91FEX1QF;S;GVUUXWDWZ;74;58;3;OOGP;546
PUL80ZCV0UJ;S;FAJSITYEE;52;80;8;TETR;267
SPP64GTO4HF;S;FEJBEDNNG;8;45;49;VXIN;539
COU94KPQ7WP;S;DSGKVMMBU;54;96;94;SHOU;2
CYS14PLR4CA;S;LNDTIGMVI;24;54;20;YEJT;6
QZJ66IVJ1IR;S;GDDFUDBKB;55;50;98;RNWH;1
GWH01WNW7BT;S;TVGVDISFH;1;70;59;NZZE;51
ICY68GPS4IQ;S;YVEZLNIVN;24;10;72;YHHK;3
IRL63VWG2DG;S;JWQGRTORO;98;84;56;POKI;1
HTC25PDB0GV;S;CXRINEVGO;95;32;9;TSCS;2
JTN17GKO2BD;S;PMWIYQGXX;95;20;37;DCLA;759
ZGQ78OYK6TZ;S;HCBUDMHVT;2;16;81;YVYU;8
KRF12KKM7NC;S;UNCSZSXKZ;56;57;70;NNRI;28
GTN75SBI0FF;S;CRLUGXEIY;35;5;9;RRUZ;723
QZO79JCX1MF;S;RBTEWLYVX;3;21;15;ABEC;8
RPK73BQH1VP;S;UFWMWWKOL;52;82;5;MGAH;1
PAG89MOB4CY;S;UIMMBUKMX;12;61;91;AQPV;49
OLG10LHE8QS;S;LNSHEMHDI;88;33;77;ZVFV;668
VXF41DST1QG;S;LYVNHFQST;71;88;5;KOBP;93
FGL16YNE2TL;S;PONNMGOLS;15;60;27;MMAX;3
LUO48HZH1NZ;S;WKJPHGBJC;96;98;79;MBWL;89
EVX14DQK5QG;S;CWFGDITVX;15;17;54;FTMQ;29
PLD80ULH0HT;S;TATQBLVJT;96;70;35;PIZM;65
JFG45RBH1TM;S;USBLCYEZW;38;17;98;KMLY;685
ZFL40KAZ2PF;S;ZKYXDLNTP;49;59;69;TAOK;7
HPN95WZF3QH;S;PHQPRHNZE;62;81;30;YAXE;586
HYM58HZC4EY;S;JJEFKCSVQ;44;88;61;KCFP;666
ZWM20BQQ0OM;S;GPOHUQRQQ;70;97;14;EDDT;2
YHA74NKN4TM;S;OKNLSMNXD;92;38;1;VODH;223
OPV65IBE4ZJ;S;XLUQFUMKD;93;26;93;DQLQ;53
KGL24ISR6LL;S;ONOAEBEVW;58;1;9;HSYJ;86
KZI05HBE3FY;S;LABTBHZZX;95;45;76;HADA;8
XGL72FWP3CV;S;QWIBPRMTF;90;1;43;QNIZ;23
RGQ75EPW7GM;S;DWDXHMTHS;37;92;19;ENKE;7
CWE72LOJ3IK;S;LYGPAKZVH;4;3;33;LJTO;2
JKG62XCK2GY;S;CKSYPJOJD;52;13;6;IYYM;725
DIG31JPR8FN;S;BGJMZPJHD;13;94;6;RGKO;9
VEU67VGD2JO;S;ORMCYTMXV;98;96;62;AVHO;166
WAO53IZL9AY;S;UBYDYLNXY;88;7;25;TDJC;31
EVV57GAG7MI;S;QATRQUEWA;63;68;64;HFNZ;48
QDR12BDA7MY;S;QWEQXRWNH;49;90;21;CSOE;917
NRZ97RQO5TQ;S;HCIMFUSHV;5;63;42;GKVR;55
ZQP11JYE9MR;S;ZOBKNUKQL;2;60;39;GEPR;15
BYG66JFV5YY;S;VKUQXOMBV;58;2;47;HUCU;641
XVV62ELK1MM;S;MLDDQJELH;54;47;42;HWRI;9
VQG34EXB5PU;S;TAGBSGCVV;43;17;47;JQSK;2
HJJ66OMN9SI;S;RSTJIBSFV;24;55;46;VSBK;831
OEB49PSM8IP;S;SLZDZJFXB;24;66;85;QFHI;4
KGV50TVD9NI;S;SBRZGIRJG;79;1;88;KDFR;819
QRR08YEU0TE;S;ICBZTEMVM;39;45;17;LGCK;7
LKC07BMQ0AA;S;UXIZUEYON;72;84;35;TQKV;2
LMT47FFZ2PF;S;QBZLXKKTY;100;70;25;KZOS;69
VPM06RPD0RU;S;RCPAEHBFO;66;54;49;DKDF;168
FHV06KLU1YV;S;LGIHPFMFO;18;100;10;DSFJ;558
CJG09BZC7ZE;S;MXPIYXRIM;6;74;13;CQJK;276
MUC27XMW0PL;S;ULGHWDNXX;7;3;72;ZJVC;267
HBM79XYA0IL;S;OQNJLJLWS;75;70;17;EHJL;8
JJE10MEJ8GV;S;TWXBTNCDM;82;61;15;EKMH;97
QLD26TKZ2RJ;S;ILZJUWYJY;56;67;9;SWIQ;5
TEU42YQR0ZT;S;AAGZNUEMQ;31;44;80;KLLU;41
